Q.No,Questions,Marks,BL,CO,Unit No
1,Explain Types of Business entities,3M,L1,CO1,UNIT-I
2,What are the Non-Conventional sources of finance,3M,L1,CO1,UNIT-I
3,Define Inflation and Explain,3M,L2,CO1,UNIT-I
4,Explain the Nature and Scope of Business Economics,3M,L2,CO1,UNIT-I
5,Business Economics is the Integration of Economic theory. Discuss,3M,L4,CO1,UNIT-I
6,Explain the significance of Business Economics,3M,L2,CO1,UNIT-I
7,How National Income impact on the countries Development &amp; Growth,6M,L2,CO1,UNIT-I
8,"List out the different types of Business firms, Explain",6M,L4,CO1,UNIT-I
9,Define the Business cycle and Explain the Phases,6M,L1,CO1,UNIT-I
10,List out the Survey methods in Demand Forecasting,3M,L4,CO2,UNIT-II
